MemTotal:        7843812 kB
MemFree:         7678896 kB
MemAvailable:    7629380 kB
Buffers:            4368 kB
Cached:            42680 kB
SwapCached:            0 kB
Active:            10608 kB
Inactive:          47196 kB
Active(anon):        236 kB
Inactive(anon):    19660 kB
Active(file):      10372 kB
Inactive(file):    27536 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:         10744 kB
Mapped:            13528 kB
Shmem:              9120 kB
KReclaimable:      29716 kB
Slab:              62120 kB
SReclaimable:      29716 kB
SUnreclaim:        32404 kB
KernelStack:        2724 kB
PageTables:         1000 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3921904 kB
Committed_AS:      23756 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4664 kB
VmallocChunk:          0 kB
Percpu:             2176 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           29696 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
