MemTotal:        7843808 kB
MemFree:         7681812 kB
MemAvailable:    7632396 kB
Buffers:            4396 kB
Cached:            42756 kB
SwapCached:            0 kB
Active:            10724 kB
Inactive:          47136 kB
Active(anon):        252 kB
Inactive(anon):    19588 kB
Active(file):      10472 kB
Inactive(file):    27548 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:         10720 kB
Mapped:            13484 kB
Shmem:              9124 kB
KReclaimable:      29804 kB
Slab:              61656 kB
SReclaimable:      29804 kB
SUnreclaim:        31852 kB
KernelStack:        2656 kB
PageTables:          748 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3921904 kB
Committed_AS:      23880 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4648 kB
VmallocChunk:          0 kB
Percpu:             2176 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           29696 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
