MemTotal:        2013120 kB
MemFree:         1880740 kB
MemAvailable:    1874992 kB
Buffers:            4640 kB
Cached:            35048 kB
SwapCached:            0 kB
Active:            10644 kB
Inactive:          40544 kB
Active(anon):        264 kB
Inactive(anon):    20236 kB
Active(file):      10380 kB
Inactive(file):    20308 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:         11628 kB
Mapped:            14612 kB
Shmem:              9000 kB
KReclaimable:      25400 kB
Slab:              53368 kB
SReclaimable:      25400 kB
SUnreclaim:        27968 kB
KernelStack:        2048 kB
PageTables:         1008 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1006560 kB
Committed_AS:      27480 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        3860 kB
VmallocChunk:          0 kB
Percpu:             1024 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           32000 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
