MemTotal:        7843680 kB
MemFree:         7667348 kB
MemAvailable:    7621720 kB
Buffers:            4864 kB
Cached:            49880 kB
SwapCached:            0 kB
Active:            14020 kB
Inactive:          52300 kB
Active(anon):        272 kB
Inactive(anon):    20368 kB
Active(file):      13748 kB
Inactive(file):    31932 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               240 kB
Writeback:             0 kB
AnonPages:         11672 kB
Mapped:            14836 kB
Shmem:              9064 kB
KReclaimable:      29724 kB
Slab:              61800 kB
SReclaimable:      29724 kB
SUnreclaim:        32076 kB
KernelStack:        2840 kB
PageTables:          976 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3921840 kB
Committed_AS:      32936 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        5068 kB
VmallocChunk:          0 kB
Percpu:             2176 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           29664 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
