MemTotal:        2021120 kB
MemFree:         1937764 kB
MemAvailable:    1921220 kB
Buffers:            3924 kB
Cached:            32976 kB
SwapCached:            0 kB
Active:            10592 kB
Inactive:          39332 kB
Active(anon):        156 kB
Inactive(anon):    21484 kB
Active(file):      10436 kB
Inactive(file):    17848 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:         13060 kB
Mapped:            14524 kB
Shmem:              8672 kB
KReclaimable:       6208 kB
Slab:              17756 kB
SReclaimable:       6208 kB
SUnreclaim:        11548 kB
KernelStack:        1464 kB
PageTables:         1832 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1010560 kB
Committed_AS:      52628 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        3856 kB
VmallocChunk:          0 kB
Percpu:              472 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           32000 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
