MemTotal:        2021132 kB
MemFree:         1921976 kB
MemAvailable:    1910572 kB
Buffers:            3824 kB
Cached:            42924 kB
SwapCached:            0 kB
Active:            12308 kB
Inactive:          48380 kB
Active(anon):        140 kB
Inactive(anon):    22300 kB
Active(file):      12168 kB
Inactive(file):    26080 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               384 kB
Writeback:             0 kB
AnonPages:         13872 kB
Mapped:            14264 kB
Shmem:              8584 kB
KReclaimable:       6524 kB
Slab:              18040 kB
SReclaimable:       6524 kB
SUnreclaim:        11516 kB
KernelStack:        1456 kB
PageTables:         1660 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1010564 kB
Committed_AS:      51296 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4016 kB
VmallocChunk:          0 kB
Percpu:              496 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           32000 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
